park_id,name,state_or_territory,latitude,longitude,established_date,area_acres,recreation_visitors_2021,description
c5e8e513-40d0-5b4d-a81b-d69550bd125c,Guadalupe Mountains,Texas,31.92,-104.87,1966-10-15,86367.10,243291,"This park contains Guadalupe Peak, the highest point in Texas, as well as the scenic McKittrick Canyon filled with bigtooth maples, a corner of the arid Chihuahuan Desert, and a fossilized coral reef from the Permian era."
4f2d7da6-036e-56ce-8c5c-837819238eb8,Haleakalā,Hawaii,20.72,-156.17,1961-07-01,33264.62,853181,"The Haleakalā volcano on Maui features a very large crater with numerous cinder cones, a grove of non-native trees, the Kipahulu section's scenic pools of freshwater fish, and the endemic Hawaiian goose. The park protects the greatest number of endangered species within a U.S. national park. (BR)"
2cd86baa-e2cb-5d00-a65e-e05a51b3bd60,Hawaiʻi Volcanoes,Hawaii,19.38,-155.2,1916-08-01,325605.28,1262747,"This park on the Big Island protects the Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000 m). (WHS) (BR)"
50a1ddf0-5c1a-5030-86a6-557a11943ad5,Hot Springs,Arkansas,34.51,-93.05,1921-03-04,5554.15,2162884,"Hot Springs was originally established by Congress as a federal reserve on April 20, 1832, making it the oldest area managed by the National Park Service. Natural thermal springs flow out of the Ouachita Mountains, providing opportunities for relaxation in a historic setting. Bathhouse Row preserves examples of 19th-century architecture. Hot Springs is the first national park within a city and was the smallest national park until 2018."
f9068446-b617-58be-b7f1-87d378f96794,Indiana Dunes,Indiana,41.6533,-87.0524,2019-02-15,15349.08,3177210,"Previously designated a national lakeshore, parts of this 20-mile (32 km) stretch of the southern shore of Lake Michigan have sandy beaches and tall dunes. The park includes grassy prairies, peat bogs, and marsh wetlands home to over 2,000 species."
37e6d70f-332d-5a7d-839a-e16157750a40,Isle Royale,Michigan,48.1,-88.55,1940-04-03,571790.30,25844,"The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the island, though the relationship between its wolf and moose populations is especially unique. (BR)"
7ca44e0c-f172-5ef3-b1cf-7ae6dbf11c4b,Joshua Tree,California,33.79,-115.9,1994-10-31,795155.85,3064400,"Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this desert landscape is populated by vast stands of Joshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters of monzogranite monoliths. (BR)"
7fe5ae36-25f9-5900-95c5-27061e5d2e48,Katmai,Alaska,58.5,-155,1980-12-02,3674529.33,24764,"This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, and the stratovolcano Mount Katmai. Over 2,000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou, wolves, moose, and wolverines."
996cb7e8-7030-5ac0-bf05-fd88e2f71c55,Kenai Fjords,Alaska,59.92,-149.65,1980-12-02,669650.05,411782,"Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is the rapidly shrinking Exit Glacier. Boat and kayak tours offer views of tidewater glaciers, whales, sea lions, and marine birds."
dcc61f34-d19c-56ca-ba4e-226953c40d0a,Kings Canyon,California,36.8,-118.55,1940-03-04,461901.20,562918,"Home to several giant sequoia groves and the General Grant Tree, the world's second largest measured tree, this park also features part of the Kings River, sculptor of the dramatic granite canyon that is its namesake, and the San Joaquin River, as well as Boyden Cave. Although Kings Canyon National Park was designated as such in 1940, it subsumed General Grant National Park, which had been established on October 1, 1890, as the United States' fourth national park. (BR)"
